117  11 1 0 0.631 6.487 0.284 5.061 0.669 0.450
120  15 1 0 0.712 6.663 0.135 5.960 0.317 0.240
121  15 1 0 0.652 6.681 0.155 5.663 0.365 0.253
120  16 1 0 0.686 6.648 0.180 5.293 0.423 0.309
121  16 1 0 0.784 6.688 0.172 6.058 0.405 0.337
122  16 1 0 0.675 6.694 0.180 5.271 0.425 0.305
120  17 1 0 0.687 6.640 0.210 5.191 0.495 0.362
121  17 1 0 0.750 6.672 0.194 5.826 0.456 0.364
122  17 1 0 0.703 6.687 0.179 5.319 0.422 0.316
 97  18 1 0 0.674 6.556 0.090 5.394 0.212 0.152
 98  18 1 0 0.654 6.531 0.115 5.216 0.272 0.189
119  18 1 0 0.747 6.642 0.149 6.017 0.351 0.279
120  18 1 0 0.694 6.654 0.182 5.966 0.428 0.316
121  18 1 0 0.664 6.685 0.191 5.515 0.449 0.317
122  18 1 0 0.691 6.702 0.190 5.109 0.448 0.329
134  18 1 0 0.638 6.115 0.233 5.413 0.549 0.373
140  18 1 0 0.656 5.788 0.262 5.048 0.617 0.431
141  18 1 0 0.687 5.782 0.251 5.216 0.591 0.433
142  18 1 0 0.695 5.773 0.247 5.205 0.581 0.430
 97  19 1 0 0.695 6.530 0.126 5.850 0.297 0.220
 98  19 1 0 0.703 6.507 0.144 6.445 0.340 0.254
 99  19 1 0 0.634 6.485 0.165 5.195 0.390 0.263
118  19 1 0 0.649 6.647 0.109 5.125 0.257 0.178
119  19 1 0 0.599 6.685 0.148 5.130 0.348 0.222
120  19 1 0 0.607 6.694 0.178 5.518 0.420 0.271
121  19 1 0 0.680 6.690 0.187 5.806 0.439 0.318
122  19 1 0 0.702 6.687 0.190 5.431 0.447 0.334
133  19 1 0 0.688 6.145 0.213 5.186 0.502 0.367
134  19 1 0 0.683 6.155 0.249 5.257 0.586 0.426
135  19 1 0 0.648 6.162 0.293 5.101 0.690 0.476
141  19 1 0 0.728 5.832 0.219 5.787 0.515 0.399
142  19 2 0 0.701 5.824 0.269 5.346 0.633 0.472
 98  20 1 0 0.595 6.519 0.157 5.398 0.369 0.234
121  20 1 0 0.709 6.722 0.205 5.545 0.482 0.364
122  20 1 0 0.819 6.689 0.187 6.132 0.441 0.385
123  20 1 0 0.678 6.653 0.201 5.774 0.473 0.342
128  20 1 0 0.615 6.284 0.251 5.165 0.590 0.386
129  20 1 0 0.661 6.251 0.250 5.333 0.589 0.414
130  20 1 0 0.678 6.252 0.261 5.463 0.615 0.444
131  20 1 0 0.636 6.241 0.286 5.177 0.672 0.455
133  20 1 0 0.716 6.131 0.248 5.430 0.584 0.445
134  20 1 0 0.736 6.120 0.273 5.599 0.644 0.505
135  20 1 0 0.684 6.161 0.309 5.400 0.727 0.529
136  20 1 0 0.611 6.092 0.351 5.008 0.826 0.537
140  20 1 0 0.791 5.830 0.216 6.061 0.508 0.428
141  20 2 0 0.814 5.842 0.221 5.994 0.521 0.451
142  20 2 0 0.818 5.851 0.261 5.867 0.615 0.535
